AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,Classe
0.43164825,-1.3131849,0.42152596,0.007483099,0.02687807,-0.058719423,SLOW,3583123,2
-0.03476286,0.043962777,-1.7048554,0.07040222,-0.087964594,-0.07582365,SLOW,3583124,2
0.8114109,0.22446519,0.29572868,-0.095753126,0.06291912,-0.06971499,SLOW,3583124,2
1.5654013,-0.6560854,-0.3070774,-0.018784106,0.10445796,-0.007406741,SLOW,3583125,2
0.48964286,0.34029108,1.9145727,-0.05665775,0.18387043,-0.060552016,SLOW,3583125,2
-0.15950322,0.4546013,-0.27448082,-0.27229318,0.22052236,-0.059941154,SLOW,3583126,2
2.511154,-0.29194605,4.369581,-0.12751812,-0.24129178,-0.17234036,SLOW,3583126,2
0.2280097,-0.12890595,-2.0877018,0.09239337,0.04337143,-0.11552989,SLOW,3583127,2
0.5560188,0.06345934,-0.8335314,-0.040775254,0.007330383,-0.06971499,SLOW,3583127,2
-0.14445281,0.033744156,0.082408905,0.023365596,0.1386664,-0.0397826,SLOW,3583128,2
1.958133,0.4540987,0.7373352,-0.016340645,0.027488936,-0.0538325,SLOW,3583128,2
0.24572563,-0.6248729,-0.54160595,0.042913284,-0.09773844,-0.05749769,SLOW,3583129,2
-0.26774716,-0.59156716,0.63525295,0.02275473,-0.050701816,-0.056886826,SLOW,3583129,2
-0.24742341,-0.65614873,-0.4970436,0.00870483,0.10140363,0.022525655,SLOW,3583130,2
-0.061902046,-0.2153238,0.7476711,0.058184914,0.01038471,-0.00496328,SLOW,3583131,2
0.9887514,0.7567726,-0.81177235,0.0062613687,-0.021991149,-0.020845776,SLOW,3583131,2
0.3442576,-1.2636533,-0.62236977,-0.032223143,-0.01282817,0.021914791,SLOW,3583132,2
-0.73482275,-0.6511076,-0.5313339,0.05207626,-0.009773844,-0.046502117,SLOW,3583132,2
0.44402528,-1.1202362,0.33286762,-0.030390546,0.07513642,0.034742963,SLOW,3583133,2
1.2650019,-0.97448015,0.41671848,0.022143865,0.10262536,0.00786489,SLOW,3583133,2
0.61596763,0.37182957,1.28333,-0.12873985,-0.15454891,-0.027565295,SLOW,3583134,2
-1.0568367,-0.73987955,-0.1470213,0.16814066,0.08246681,0.0603993,SLOW,3583134,2
